company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,id
/company/vacacation-rentals-shore-ohio,Vacacation Rentals Shore Ohio,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/10/07,2007-03,2007-Q1,2007.0,3200.0,USD,6806
/company/vacapedia,Vacapedia,,,,unknown,,/company/istopover,iStopOver,web,CAN,,Toronto,Toronto,7/5/11,2011-07,2011-Q3,2011.0,,USD,6807
/company/vacation-rental-by-homeowner,Vacation Rental By Homeowner,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,6/6/10,2010-06,2010-Q2,2010.0,12000.0,USD,6808
/company/vacation-rentals-anaheim-california-with-pets,Vacation Rentals Anaheim California with Pets,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/1/04,2004-01,2004-Q1,2004.0,21345.0,USD,6809
/company/vacation-rentals-asheville-north-carolina,Vacation Rentals Asheville North Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/1/08,2008-02,2008-Q1,2008.0,2798.0,USD,6810
/company/vacation-rentals-austin-texas,Vacation Rentals Austin Texas,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/9/07,2007-03,2007-Q1,2007.0,10000.0,USD,6811
/company/vacation-rentals-blue-ridge-mountains-georgia,Vacation Rentals Blue Ridge Mountains Georgia,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/5/10,2010-04,2010-Q2,2010.0,5000.0,USD,6812
/company/vacation-rentals-breckenridge-colorado,Vacation Rentals Breckenridge Colorado,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,7/8/06,2006-07,2006-Q3,2006.0,12654.0,USD,6813
/company/vacation-rentals-breezy-point-minnesota,Vacation Rentals Breezy Point Minnesota,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,8/24/10,2010-08,2010-Q3,2010.0,5000.0,USD,6814
/company/vacation-rentals-cedar-falls-iowa,Vacation Rentals Cedar Falls Iowa-,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/13/09,2009-03,2009-Q1,2009.0,1000.0,USD,6815
/company/vacation-rentals-charleston-south-carolina,Vacation Rentals Charleston South Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/14/06,2006-01,2006-Q1,2006.0,21000.0,USD,6816
/company/vacation-rentals-chicago-illinoi,Vacation Rentals Chicago Illinoi,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,10/14/08,2008-10,2008-Q4,2008.0,10000.0,USD,6817
/company/vacation-rentals-davenport-florida,Vacation Rentals Davenport Florida,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/9/07,2007-02,2007-Q1,2007.0,2345.0,USD,6818
/company/vacation-rentals-disney-oklahoma,Vacation Rentals Disney Oklahoma,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/2/09,2009-02,2009-Q1,2009.0,1200.0,USD,6819
/company/vacation-rentals-gatlinburg-tennessee,Vacation Rentals Gatlinburg Tennessee,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/8/08,2008-04,2008-Q2,2008.0,1900.0,USD,6820
/company/vacation-rentals-groton-connecticut,Vacation Rentals Groton Connecticut,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/8/08,2008-02,2008-Q1,2008.0,23432.0,USD,6821
/company/vacation-rentals-hampton-new-york,Vacation Rentals Hampton New York,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/11/00,2000-04,2000-Q2,2000.0,23000.0,USD,6822
/company/vacation-rentals-hilton-head-north-carolina,Vacation Rentals Hilton Head North Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/12/08,2008-04,2008-Q2,2008.0,10000.0,USD,6823
/company/vacation-rentals-home-and-away-rental,Vacation Rentals Home and Away Rental,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/9/04,2004-01,2004-Q1,2004.0,21345.0,USD,6824
/company/vacation-rentals-honolulu-hawaii,Vacation Rentals Honolulu Hawaii,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,5/25/04,2004-05,2004-Q2,2004.0,10000.0,USD,6825
/company/vacation-rentals-in-folly-beach-south-carolina,Vacation Rentals in Folly Beach South Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,5/25/10,2010-05,2010-Q2,2010.0,12000.0,USD,6826
/company/vacation-rentals-in-north-dakota,Vacation Rentals in North Dakota,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/1/10,2010-04,2010-Q2,2010.0,12000.0,USD,6827
/company/vacation-rentals-in-south-dakota,Vacation Rentals in South Dakota,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/4/10,2010-02,2010-Q1,2010.0,1500.0,USD,6828
/company/vacation-rentals-in-steamboat-springs-colorad,Vacation Rentals in Steamboat Springs Colorad,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/3/08,2008-02,2008-Q1,2008.0,12546.0,USD,6829
/company/vacation-rentals-in-steamboat-springs-colorado,Vacation Rentals in Steamboat Springs Colorado,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/13/08,2008-02,2008-Q1,2008.0,13234.0,USD,6830
/company/vacation-rentals-kailua-kona-hawaii,Vacation Rentals Kailua Kona Hawaii,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,12/26/07,2007-12,2007-Q4,2007.0,11000.0,USD,6831
/company/vacation-rentals-kentucky,Vacation Rentals Kentucky,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/10/10,2010-01,2010-Q1,2010.0,1000.0,USD,6832
/company/vacation-rentals-kingston-plantation,Vacation Rentals Kingston Plantation,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/12/09,2009-02,2009-Q1,2009.0,1200.0,USD,6833
/company/vacation-rentals-kingston-plantation-golf,Vacation Rentals Kingston Plantation Golf,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/1/08,2008-01,2008-Q1,2008.0,1200.0,USD,6834
/company/vacation-rentals-kingston-plantation-horry-county,Vacation Rentals Kingston Plantation Horry County,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/21/07,2007-03,2007-Q1,2007.0,1289.0,USD,6835
/company/vacation-rentals-kingston-plantation-resorts,Vacation Rentals Kingston Plantation Resorts,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/12/09,2009-03,2009-Q1,2009.0,2100.0,USD,6836
/company/vacation-rentals-kingston-plantation-south-carolina,Vacation Rentals Kingston Plantation South Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,6/14/06,2006-06,2006-Q2,2006.0,2500.0,USD,6837
/company/vacation-rentals-kingston-plantation-travel,Vacation Rentals Kingston Plantation Travel,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/11/07,2007-03,2007-Q1,2007.0,1200.0,USD,6838
/company/vacation-rentals-kingston-plantation-vacations,Vacation Rentals Kingston Plantation Vacations,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/17/05,2005-04,2005-Q2,2005.0,2500.0,USD,6839
/company/vacation-rentals-kingston-plantation-vrbo,Vacation Rentals Kingston Plantation VRBO,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/5/11,2011-03,2011-Q1,2011.0,2980.0,USD,6840
/company/vacation-rentals-kingston-resort-myrtle-beach,Vacation Rentals Kingston Resort Myrtle Beach,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/8/09,2009-02,2009-Q1,2009.0,1659.0,USD,6841
/company/vacation-rentals-kingston-shores-south-carolina,Vacation Rentals Kingston Shores South Carolina,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,7/22/10,2010-07,2010-Q3,2010.0,2500.0,USD,6842
/company/vacation-rentals-kingston-vacation-condo,Vacation Rentals Kingston Vacation Condo,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,1/11/09,2009-01,2009-Q1,2009.0,1200.0,USD,6843
/company/vacation-rentals-kingston-vacation-myrtle-beach,Vacation Rentals Kingston Vacation Myrtle Beach,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,6/23/09,2009-06,2009-Q2,2009.0,2100.0,USD,6844
/company/vacation-rentals-kingston-vacation-villa,Vacation Rentals Kingston Vacation Villa,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/3/09,2009-02,2009-Q1,2009.0,1200.0,USD,6845
/company/vacation-rentals-kissimmee-florida,Vacation Rentals Kissimmee Florida,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,4/10/07,2007-04,2007-Q2,2007.0,5434.0,USD,6846
/company/vacation-rentals-mammoth-lakes-california,Vacation Rentals Mammoth Lakes California,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,3/17/01,2001-03,2001-Q1,2001.0,23987.0,USD,6847
/company/vacation-rentals-marathon-key,Vacation Rentals Marathon Key,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/9/06,2006-02,2006-Q1,2006.0,12765.0,USD,6848
/company/vacation-rentals-maui-hawaii,Vacation Rentals Maui Hawaii,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,9/23/09,2009-09,2009-Q3,2009.0,5000.0,USD,6849
/company/vacation-rentals-mccall-idaho,Vacation Rentals McCall Idaho,,,,unknown,,/company/rent-my-vacation-home-com,Rent My Vacation Home USA,ecommerce,USA,SC,Myrtle Beach,Myrtle Beach,2/8/09,2009-02,2009-Q1,2009.0,2500.0,USD,6850
